Date,Speaker ID,Sex,Parliament,Party,Speech Count
2024-05-14,#TasminaAhmedSheikh,F,House of Commons,Scottish National Party,1
2024-05-14,#ChristopherElmore,M,House of Commons,Labour,1
2024-05-14,#EmilyThornberry,F,House of Commons,Labour,2
2024-05-14,#JohnBercow,M,House of Commons,Conservative,3
2024-05-14,#CarolynHarris,F,House of Commons,Labour,2
2024-05-14,#NicholasSoames,M,House of Commons,Conservative,1
2024-05-14,#BrendanOHara,M,House of Commons,Scottish National Party,1
2024-05-14,#FeliciaDrummond,F,House of Commons,Conservative,1
2024-05-14,#JohnSpellar,M,House of Commons,Labour,1
2024-05-14,#StephenTwigg,M,House of Commons,Labour,23
2024-05-14,#KeithVaz,M,House of Commons,Labour,8
2024-05-14,#RobertStewart,M,House of Commons,Conservative,8
2024-05-14,#StephenDoughty,M,House of Commons,Labour,9
2024-05-14,#AnnClwyd,F,House of Commons,Labour,1
2024-05-14,#MichaelGapes,M,House of Commons,Labour,2
2024-05-14,#FionaBruce,F,House of Commons,Conservative,1
2024-05-14,#GrahamJones,M,House of Commons,Labour,20
2024-05-14,#TobiasEllwood,M,House of Commons,Conservative,20
2024-05-14,#JohnSpellar,M,House of Commons,Labour,1
2024-05-14,#SeemaKennedy,F,House of Commons,Conservative,7
2024-05-14,#ThomasBrake,M,House of Commons,Liberal Democrat,6
2024-05-14,#EleanorLaing,F,House of Commons,Conservative,2
2024-05-14,#AlistairBurt,M,House of Commons,Conservative,5
2024-05-14,#GeorgeKerevan,M,House of Commons,Scottish National Party,7
2024-05-14,#DesmondSwayne,M,House of Commons,Conservative,1
2024-05-14,#EmilyThornberry,F,House of Commons,Labour,15
2024-05-14,#ChrisWhite,M,House of Commons,Conservative,7
2024-05-14,#PaulMonaghan,M,House of Commons,Scottish National Party,2
2024-05-14,#MadeleineMoon,F,House of Commons,Labour,5
2024-05-14,#KirstenOswald,F,House of Commons,Scottish National Party,1
2024-05-14,#FeliciaDrummond,F,House of Commons,Conservative,2
2024-05-14,#WendyMorton,F,House of Commons,Conservative,3
2024-05-14,#EdwardArgar,M,House of Commons,Conservative,3
2024-05-14,#MargaretFerrier,F,House of Commons,Scottish National Party,1
2024-05-14,#KevinFoster,M,House of Commons,Conservative,1
2024-05-14,#TasminaAhmedSheikh,F,House of Commons,Scottish National Party,4
2024-05-14,#PatrickGrady,M,House of Commons,Scottish National Party,1
2024-05-14,#NataschaEngel,F,House of Commons,Labour,1
